ThreadID,CallerID,StartNanos,EndNanos
1,/_877612522,22817751502474,22817768113814
1,mvvar_75470648,22817768390084,22817768722748
1,/_1633013890,22817770083678,22817770117193
1,mvvar_979291363,22817770124117,22817770138313
1,-_1504937617,22817819337850,22817819443583
1,mvvar_774895395,22817819461860,22817819482444
1,/_843710487,22817819917424,22817819948195
1,mvvar_1636291061,22817819955253,22817819968960
1,-_854733477,22817829455565,22817829491110
1,mvvar_1140338296,22817829501738,22817829519228
1,time_751021317,22817942562987,22817946608829
1,mvvar_1896552614,22817946639212,22817946669541
1,createvar_294658299,22817946689637,22817946787625
1,createvar_1033856359,22817946794518,22817946833153
1,ooc_rblk_1141113940,22817946840750,22817949358441
1,>_1424108509,22817950380321,22817950427361
1,mvvar_1003755748,22817950453155,22817950474551
1,createvar_1414013111,22817950539230,22817950574969
1,ooc_tee_1987977423,22817950581190,22817965621415
1,createvar_594858858,22817965670997,22817965778166
1,ooc_uacmean_1520267010,22817965788127,22817968800699
1,createvar_191945292,22817968815332,22817968859720
1,ooc_replace_1925352804,22817968866650,22817977526983
1,rmvar_1041547629,22817977553720,22817977688350
1,createvar_1016633682,22817977695449,22817977734661
1,ooc_tee_1687354037,22817977739634,22817977767611
1,rmvar_1027319653,22817977772169,22817977792688
1,createvar_633079302,22817977797028,22817977813238
1,ooc_-_967323951,22817977817926,22817982157359
1,rmvar_712410791,22817982188421,22817982243772
1,createvar_1971991758,22817982249571,22817982299890
1,ooc_tee_1600594643,22817982305078,22817982322132
1,rmvar_201274566,22817982326583,22817982346370
1,createvar_354605216,22817982351479,22817982371970
1,ooc_^2_922807452,22817982377943,22817982722176
1,createvar_663466110,22817982734922,22817982769044
1,ooc_uack+_33563464,22817982774373,22817982842390
1,rmvar_1129433283,22817982847851,22817982868647
1,createvar_864138492,22817982872953,22817982891455
1,ooc_/_1494346128,22817982895583,22817983028745
1,rmvar_1547883191,22817983035625,22817983053887
1,createvar_1650113431,22817983058900,22817983080219
1,ooc_sqrt_30699728,22817983087593,22817983460349
1,rmvar_1089930529,22817983470283,22817983498495
1,createvar_2001115307,22817983503558,22817983526944
1,ooc_replace_38603201,22817983531693,22817983608462
1,rmvar_172794870,22817983613336,22817983629317
1,createvar_1927963027,22817983633820,22817983650442
1,ooc_replace_1422273905,22817983654659,22817983709951
1,rmvar_1167088639,22817983714624,22817983729872
1,createvar_707531688,22817983735008,22817983816452
1,ooc_tee_1694784135,22817983821752,22817983836065
1,rmvar_1799635803,22817983839929,22817983855573
1,createvar_751608431,22817983859231,22817983894619
1,ooc_/_1207231495,22817983899125,22817984037426
1,rmvar_1770070706,22817984042714,22817984066742
1,createvar_1108517064,22817984071398,22817984104554
1,ooc_tee_756936249,22817984108767,22817984120435
1,rmvar_992743048,22817984124205,22817984143721
1,createvar_1540894701,22817984149739,22817984164402
30,ooc_-_967323951,22818037292537,22818037990245
30,ooc_-_967323951,22818070443223,22818070502250
30,ooc_-_967323951,22818089817297,22818089865236
30,ooc_-_967323951,22818107729503,22818107789030
30,ooc_-_967323951,22818124512251,22818124547189
