ThreadID,CallerID,StartNanos,EndNanos,NumBytes
35,write,12019715458455,12019744051911,8000025
36,write,12019740485959,12019752759386,8000025
35,write,12019744068422,12019761394090,8000025
35,write,12019761411389,12019773259084,8000025
36,write,12019767390531,12019778711159,8000025
35,write,12019794967342,12019805576547,8000025
36,write,12019812946452,12019823474961,8000025
35,write,12019830845879,12019841553426,8000025
36,write,12019846441089,12019856052088,8000025
35,write,12019861692757,12019872196009,8000025
36,write,12019875655535,12019885426244,8000025
35,write,12019890414451,12019900655181,8000025
36,write,12019905376677,12019914268405,8000025
35,write,12019922052665,12019932940000,8000025
36,write,12019937572160,12019946603763,8000025
36,write,12019966895433,12019976479046,8000025
35,write,12019983835271,12019996940846,8000025
35,write,12020023420032,12020035277160,8000025
36,write,12020039507071,12020051163438,8000025
35,write,12020061767717,12020074964446,8000025
35,write,12020083041040,12020095690068,8000025
36,write,12020101722614,12020115007221,8000025
35,write,12020120684430,12020131692226,8000025
36,write,12020136008438,12020145996955,8000025
35,write,12020150881585,12020161951280,8000025
36,write,12020165874162,12020175145248,8000025
35,write,12020181070702,12020191055968,8000025
36,write,12020199252277,12020208600090,8000025
35,write,12020218972575,12020229174436,8000025
36,write,12020238046432,12020248212810,8000025
36,write,12020269059168,12020278781166,8000025
35,write,12020286818270,12020298064118,8000025
36,write,12020305448120,12020315473306,8000025
35,write,12020320816457,12020331376730,8000025
35,write,12020351946969,12020362062731,8000025
36,write,12020367872074,12020378368714,8000025
35,write,12020383492037,12020393566881,8000025
36,write,12020398562952,12020408768174,8000025
35,write,12020413908204,12020423284315,8000025
36,write,12020428976893,12020439350595,8000025
36,write,12020444559017,12020453146095,8000025
35,write,12020461449791,12020470838367,8000025
36,write,12020474463911,12020484215675,8000025
35,write,12020489284278,12020499582728,8000025
36,write,12020504639520,12020513850827,8000025
35,write,12020519627653,12020529698160,8000025
36,write,12020534725377,12020543814253,8000025
36,write,12020576434404,12020586069033,8000025
35,write,12020592349276,12020604726862,8000025
35,write,12020623330840,12020635231225,8000025
36,write,12020640185924,12020652624452,8000025
35,write,12020657195004,12020670446797,8000025
36,write,12020674796873,12020686116574,8000025
35,write,12020691456715,12020701813052,8000025
36,write,12020705166758,12020714707940,8000025
35,write,12020720585363,12020731655590,8000025
