ThreadID,CallerID,StartNanos,EndNanos
1,/_461129530,7976885901389,7976903467929
1,mvvar_1633013890,7976903770974,7976904322485
1,/_979291363,7976906464410,7976906505290
1,mvvar_1444440224,7976906515393,7976906534307
1,-_774895395,7976963601293,7976963717337
1,mvvar_843710487,7976963737286,7976963760835
1,/_1636291061,7976964299030,7976964335080
1,mvvar_608519258,7976964343572,7976964359807
1,-_1140338296,7976974826314,7976974875826
1,mvvar_15024899,7976974894347,7976974913794
1,time_1896552614,7977102389307,7977105426585
1,mvvar_294658299,7977105448674,7977105473287
1,createvar_1033856359,7977105485473,7977105568236
1,createvar_201677908,7977105573735,7977105599513
1,ooc_rblk_1711185459,7977105606189,7977107596138
1,>_1003755748,7977108745305,7977108787463
1,mvvar_1414013111,7977108808417,7977108823693
1,createvar_1805164661,7977108870253,7977108894389
1,ooc_tee_61073295,7977108899248,7977119340012
1,createvar_1423016050,7977119391398,7977119481254
1,ooc_uacmean_908084672,7977119488318,7977122210110
1,createvar_1242688388,7977122230298,7977122284488
1,ooc_replace_1687354037,7977122291198,7977130537407
1,rmvar_2018220300,7977130564152,7977130687218
1,createvar_1027319653,7977130693428,7977130730590
1,ooc_tee_743778731,7977130736108,7977130764755
1,rmvar_1561745898,7977130769333,7977130792807
1,createvar_2033268925,7977130797113,7977130812715
1,ooc_-_1600594643,7977130817370,7977135649268
1,rmvar_2126723403,7977135689452,7977135762726
1,createvar_201274566,7977135767851,7977135821239
1,ooc_tee_743648472,7977135826393,7977135847282
1,rmvar_824881806,7977135851867,7977135869605
1,createvar_1447353473,7977135873651,7977135889541
1,ooc_^2_33563464,7977135893871,7977136258032
1,createvar_864138492,7977136266735,7977136293709
1,ooc_uack+_1494346128,7977136299384,7977136567065
1,rmvar_1810518740,7977136574777,7977136597832
1,createvar_295180183,7977136602645,7977136624487
1,ooc_/_822087264,7977136628886,7977136721713
1,rmvar_1528769018,7977136727797,7977136744463
1,createvar_183155105,7977136749114,7977136765767
1,ooc_sqrt_38603201,7977136770408,7977137150263
1,rmvar_1429483328,7977137159890,7977137184046
1,createvar_172794870,7977137188977,7977137210471
1,ooc_replace_1422273905,7977137217260,7977137294217
1,rmvar_833240229,7977137299663,7977137315442
1,createvar_1167088639,7977137320131,7977137337175
1,ooc_replace_1694784135,7977137341441,7977137394289
1,rmvar_191568263,7977137399066,7977137414727
1,createvar_1799635803,7977137419826,7977137445497
1,ooc_tee_1207231495,7977137450143,7977137465293
1,rmvar_1723290893,7977137469457,7977137485609
1,createvar_893640573,7977137489638,7977137513324
1,ooc_/_756936249,7977137517850,7977137645983
1,rmvar_511354923,7977137651290,7977137674860
1,createvar_992743048,7977137679713,7977137696183
1,ooc_tee_1221981006,7977137701029,7977137712278
1,rmvar_203149502,7977137716192,7977137731391
1,createvar_1198197478,7977137737494,7977137769007
30,ooc_-_1600594643,7977192784390,7977193833072
30,ooc_-_1600594643,7977224601639,7977224665506
30,ooc_-_1600594643,7977244524713,7977244572055
30,ooc_-_1600594643,7977261367507,7977261420487
30,ooc_-_1600594643,7977278536894,7977278576776
30,ooc_-_1600594643,7977295471858,7977295524660
30,ooc_-_1600594643,7977312584986,7977312633846
30,ooc_-_1600594643,7977329901901,7977329951434
30,ooc_-_1600594643,7977347415432,7977347458454
30,ooc_-_1600594643,7977364418266,7977364463826
30,ooc_-_1600594643,7977381766001,7977381813787
30,ooc_-_1600594643,7977399345779,7977399395984
30,ooc_-_1600594643,7977416232153,7977416279606
30,ooc_-_1600594643,7977433352786,7977433410041
30,ooc_-_1600594643,7977451854147,7977451898863
30,ooc_-_1600594643,7977469728863,7977469777350
30,ooc_-_1600594643,7977486429220,7977486465594
30,ooc_-_1600594643,7977504366346,7977504413681
30,ooc_-_1600594643,7977521967028,7977522029991
30,ooc_-_1600594643,7977539808129,7977539860673
30,ooc_-_1600594643,7977556575315,7977556629444
30,ooc_-_1600594643,7977573776260,7977573829498
30,ooc_-_1600594643,7977590392683,7977590445333
30,ooc_-_1600594643,7977606109914,7977606152935
30,ooc_-_1600594643,7977622161771,7977622211524
30,ooc_-_1600594643,7977638268971,7977638318868
30,ooc_-_1600594643,7977657745569,7977657791789
30,ooc_-_1600594643,7977675091925,7977675248747
30,ooc_-_1600594643,7977690697421,7977690733632
30,ooc_-_1600594643,7977706462304,7977706511501
30,ooc_-_1600594643,7977722401051,7977722438627
30,ooc_-_1600594643,7977738424454,7977738467310
30,ooc_-_1600594643,7977754112347,7977754143476
30,ooc_-_1600594643,7977769607972,7977769643470
30,ooc_-_1600594643,7977785741546,7977785772410
30,ooc_-_1600594643,7977801524607,7977801557812
30,ooc_-_1600594643,7977817489417,7977817522151
30,ooc_-_1600594643,7977835809309,7977835840878
30,ooc_-_1600594643,7977851447282,7977851481928
30,ooc_-_1600594643,7977867120691,7977867151017
30,ooc_-_1600594643,7977882468971,7977882499780
30,ooc_-_1600594643,7977898220709,7977898252430
30,ooc_-_1600594643,7977913918113,7977913953356
30,ooc_-_1600594643,7977930629553,7977930670880
30,ooc_-_1600594643,7977947086602,7977947122283
30,ooc_-_1600594643,7977963989814,7977964034219
31,ooc_-_1600594643,7977994122257,7977994165712
31,ooc_-_1600594643,7978010713019,7978010758723
31,ooc_-_1600594643,7978028621579,7978028653593
31,ooc_-_1600594643,7978045098412,7978045147093
31,ooc_-_1600594643,7978062008473,7978062054623
31,ooc_-_1600594643,7978078832591,7978078873606
31,ooc_-_1600594643,7978095461931,7978095498761
31,ooc_-_1600594643,7978112016217,7978112041666
31,ooc_-_1600594643,7978129101712,7978129146828
31,ooc_-_1600594643,7978146314013,7978146359864
31,ooc_-_1600594643,7978164441169,7978164485664
31,ooc_-_1600594643,7978180082867,7978180134122
31,ooc_-_1600594643,7978197267106,7978197310637
31,ooc_-_1600594643,7978213249932,7978213298927
31,ooc_-_1600594643,7978231273054,7978231355013
31,ooc_-_1600594643,7978246611795,7978246652776
31,ooc_-_1600594643,7978263114638,7978263190217
31,ooc_-_1600594643,7978279337108,7978279403989
31,ooc_-_1600594643,7978295552023,7978295594234
31,ooc_-_1600594643,7978312046119,7978312066557
31,ooc_-_1600594643,7978328603010,7978328630960
31,ooc_-_1600594643,7978344925300,7978344972040
31,ooc_-_1600594643,7978360996785,7978361048198
31,ooc_-_1600594643,7978376487142,7978376539395
31,ooc_-_1600594643,7978393604926,7978393647978
31,ooc_-_1600594643,7978410267553,7978410309857
31,ooc_-_1600594643,7978427800366,7978427845989
31,ooc_-_1600594643,7978445267290,7978445308845
31,ooc_-_1600594643,7978463458841,7978463504350
31,ooc_-_1600594643,7978480754337,7978480817444
31,ooc_-_1600594643,7978498173753,7978498223015
31,ooc_-_1600594643,7978515646645,7978515693889
31,ooc_-_1600594643,7978533288111,7978533311511
31,ooc_-_1600594643,7978549859849,7978549884239
31,ooc_-_1600594643,7978565608976,7978565630547
31,ooc_-_1600594643,7978582281821,7978582328778
31,ooc_-_1600594643,7978598907635,7978598940147
31,ooc_-_1600594643,7978615361528,7978615405830
31,ooc_-_1600594643,7978631893371,7978631936215
31,ooc_-_1600594643,7978648104250,7978648151238
31,ooc_-_1600594643,7978665554669,7978665598183
31,ooc_-_1600594643,7978682235041,7978682286116
31,ooc_-_1600594643,7978699125046,7978699227680
31,ooc_-_1600594643,7978715039170,7978715088188
31,ooc_-_1600594643,7978732114253,7978732162263
31,ooc_-_1600594643,7978748159950,7978748206031
33,ooc_-_1600594643,7978775893881,7978775927075
33,ooc_-_1600594643,7978791290720,7978791323240
33,ooc_-_1600594643,7978806424954,7978806463244
33,ooc_-_1600594643,7978821302909,7978821338261
33,ooc_-_1600594643,7978836659072,7978836697187
33,ooc_-_1600594643,7978851636397,7978851670587
33,ooc_-_1600594643,7978866900340,7978866932906
33,ooc_-_1600594643,7978882508765,7978882549430
33,ooc_-_1600594643,7978897524586,7978897559231
33,ooc_-_1600594643,7978912611152,7978912644235
33,ooc_-_1600594643,7978928530327,7978928575659
33,ooc_-_1600594643,7978944199962,7978944242904
33,ooc_-_1600594643,7978959198767,7978959244774
33,ooc_-_1600594643,7978974246529,7978974287589
33,ooc_-_1600594643,7978989611274,7978989659317
33,ooc_-_1600594643,7979004784005,7979004823150
33,ooc_-_1600594643,7979020046491,7979020096351
33,ooc_-_1600594643,7979035889382,7979035936692
33,ooc_-_1600594643,7979050961424,7979051019242
33,ooc_-_1600594643,7979065879478,7979065925531
33,ooc_-_1600594643,7979081096515,7979081138164
33,ooc_-_1600594643,7979096448806,7979096491941
33,ooc_-_1600594643,7979111933985,7979111976999
33,ooc_-_1600594643,7979127438882,7979127487192
33,ooc_-_1600594643,7979143096233,7979143152912
33,ooc_-_1600594643,7979158895480,7979158942526
33,ooc_-_1600594643,7979174371581,7979174417801
33,ooc_-_1600594643,7979189335524,7979189387187
33,ooc_-_1600594643,7979204388604,7979204433378
33,ooc_-_1600594643,7979219527697,7979219569237
33,ooc_-_1600594643,7979235320983,7979235366172
33,ooc_-_1600594643,7979250572667,7979250615203
33,ooc_-_1600594643,7979265984179,7979266037408
33,ooc_-_1600594643,7979281352582,7979281395051
33,ooc_-_1600594643,7979296792525,7979296842699
33,ooc_-_1600594643,7979312085497,7979312152139
33,ooc_-_1600594643,7979327293501,7979327340189
33,ooc_-_1600594643,7979343235734,7979343281803
33,ooc_-_1600594643,7979358031591,7979358072302
33,ooc_-_1600594643,7979373139205,7979373185211
33,ooc_-_1600594643,7979387932893,7979387979747
33,ooc_-_1600594643,7979403160555,7979403183875
33,ooc_-_1600594643,7979446407654,7979446445562
33,ooc_-_1600594643,7979459698045,7979459747582
33,ooc_-_1600594643,7979473141192,7979473174474
33,ooc_-_1600594643,7979486060383,7979486105816
36,ooc_-_1600594643,7979510228164,7979510264845
36,ooc_-_1600594643,7979525605793,7979525643318
36,ooc_-_1600594643,7979541206093,7979541252094
36,ooc_-_1600594643,7979556525735,7979556570853
36,ooc_-_1600594643,7979571894768,7979571933820
36,ooc_-_1600594643,7979587252118,7979587289716
36,ooc_-_1600594643,7979602740307,7979602871464
36,ooc_-_1600594643,7979621528690,7979621555580
36,ooc_-_1600594643,7979640259067,7979640290194
36,ooc_-_1600594643,7979659275694,7979659312956
36,ooc_-_1600594643,7979676309728,7979676351344
36,ooc_-_1600594643,7979692822801,7979692863759
36,ooc_-_1600594643,7979708249502,7979708291813
36,ooc_-_1600594643,7979724070858,7979724117648
36,ooc_-_1600594643,7979742580919,7979742623242
36,ooc_-_1600594643,7979760728139,7979760775569
36,ooc_-_1600594643,7979778694994,7979778741084
36,ooc_-_1600594643,7979794877258,7979794918288
36,ooc_-_1600594643,7979810485915,7979810527016
36,ooc_-_1600594643,7979826500484,7979826549388
36,ooc_-_1600594643,7979842572063,7979842614532
36,ooc_-_1600594643,7979857740886,7979857785315
36,ooc_-_1600594643,7979873046334,7979873197474
36,ooc_-_1600594643,7979888116756,7979888144048
36,ooc_-_1600594643,7979903790095,7979903818985
36,ooc_-_1600594643,7979919204215,7979919233375
36,ooc_-_1600594643,7979934714590,7979934746269
36,ooc_-_1600594643,7979950866718,7979950897204
36,ooc_-_1600594643,7979966179272,7979966212245
36,ooc_-_1600594643,7979981444738,7979981477048
